Rugnummer,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag
1,CONTADOR Alberto,70,1,0,22,0
2,HERNANDEZ BLAZQUEZ Jesus,0,1,0,0,0
3,NAVARRO Daniel,0,1,0,0,0
4,NOVAL GONZALEZ Benjamin,0,1,0,0,0
5,PORTE Richie,6,1,0,0,0
6,SORENSEN Chris Anker,0,1,0,0,0
7,SORENSEN Nicki,0,1,0,0,0
8,TOSATTO Matteo,0,1,0,0,0
9,VANDBORG Brian,0,1,0,0,0
11,SCHLECK Andy,148,2,0,40,0
12,CANCELLARA Fabian,9,2,0,6,6
13,FUGLSANG Jakob,2,2,0,0,0
14,GERDEMANN Linus,4,2,0,0,0
15,MONFORT Maxime,0,2,0,0,0
16,O'GRADY Stuart,0,2,0,0,0
17,POSTHUMA Joost,0,2,0,0,0
18,SCHLECK Frank,170,2,0,26,0
19,VOIGT Jens,0,2,0,0,0
21,SANCHEZ Samuel,137,3,0,37,0
22,IZAGIRRE INSAUSTI Gorka,0,3,0,0,0
23,MARTINEZ Egoi,0,3,0,0,0
24,PEREZ LEZAUN Alan,5,3,0,0,0
25,PEREZ MORENO Ruben,0,3,0,0,0
26,TXURRUKA Amets,0,3,9,0,0
27,URTASUN PEREZ Pablo,0,3,0,0,0
28,VELASCO Ivan,0,3,6,0,0
29,VERDUGO Gorka,0,3,0,0,0
31,VAN DEN BROECK Jurgen,10,4,9,0,0
32,GILBERT Philippe,160,4,0,10,0
33,GREIPEL Andre,66,4,0,14,10
34,LANG Sebastian,0,4,0,0,0
35,ROELANDTS Jurgen,0,4,0,0,0
36,SIEBERG Marcel,0,4,0,0,0
37,VAN DE WALLE Jurgen,0,4,4,0,0
38,VANENDERT Jelle,77,4,0,11,0
39,WILLEMS Frederik,0,4,9,0,0
41,GESINK Robert,0,5,0,0,0
42,BARREDO Carlos,0,5,0,0,0
43,BOOM Lars,0,5,13,0,0
44,GARATE Juan Manuel,0,5,9,0,0
45,MOLLEMA Bauke,15,5,0,0,0
46,NIERMANN Grischa Jan,0,5,0,0,0
47,SANCHEZ Luis-Leon,44,5,0,0,0
48,TEN DAM Laurens,0,5,0,0,0
49,TJALLINGII Maarten,2,5,0,0,0
51,HUSHOVD Thor,168,6,0,6,0
52,DANIELSON Tom,14,6,0,12,0
53,DEAN Julian,4,6,0,0,0
54,FARRAR Tyler,59,6,0,11,8
55,HESJEDAL Ryder,15,6,0,3,0
56,MILLAR David,32,6,0,0,0
57,NAVARDAUSKAS Ramunas,0,6,0,0,0
58,VANDE VELDE Christian,4,6,0,4,0
59,ZABRISKIE David,0,6,9,0,0
61,VINOKOUROV Alexandre,10,7,9,0,0
62,DI GREGORIO Remy,0,7,0,0,0
63,FOFONOV Dmitriy,5,7,0,0,0
64,GRIVKO Andriy,1,7,0,0,0
65,IGLINSKIY Maxim,2,7,0,2,0
66,KREUZIGER Roman,0,7,0,0,0
67,TIRALONGO Paolo,0,7,17,0,0
68,VAITKUS Tomas,3,7,0,3,3
69,ZEITS Andrey,0,7,0,0,0
71,BRAJKOVIC Janez,0,8,5,0,0
72,HORNER Christopher,2,8,8,0,0
73,IRIZAR Markel,0,8,0,0,0
74,KLODEN Andreas,17,8,13,0,0
75,LEIPHEIMER Levi,0,8,0,0,0
76,MURAVYEV Dmitriy,3,8,0,0,0
77,PAULINHO Sergio,0,8,0,0,0
78,POPOVYCH Yaroslav,0,8,10,0,0
79,ZUBELDIA Haimar,5,8,0,5,0
81,ARROYO David,0,9,0,0,0
82,AMADOR Andrey,0,9,0,0,0
83,FARIA DA COSTA Rui Alberto,23,9,0,0,0
84,ERVITI Imanol,0,9,0,0,0
