ploegID,Naam,Punten,Afkorting,pnt_dag,pnt_laatst
1,AG2R LA MONDIALE (FRA),5,ALM,0,0
2,ASTANA PRO TEAM (KAZ),20,AST,3,7
3,BMC RACING TEAM (USA),14,BMC,0,6
4,COFIDIS LE CREDIT EN LIGNE (FRA),0,COF,0,0
5,EUSKALTEL - EUSKADI (ESP),6,EUS,0,0
6,FDJ-BIGMAT (FRA),5,FDJ,0,0
7,GARMIN - BARRACUDA (USA),4,GRM,0,0
8,KATUSHA TEAM (RUS),0,KAT,0,0
9,LAMPRE - ISD (ITA),0,LAM,0,0
10,LIQUIGAS-CANNONDALE (ITA),11,LIQ,0,2
11,LOTTO-BELISOL TEAM (BEL),17,LTB,5,5
12,MOVISTAR TEAM (ESP),3,MOV,0,0
13,OMEGA PHARMA-QUICK STEP (BEL),4,OPQ,0,0
14,ORICA GREENEDGE (AUS),8,OGE,0,0
15,RABOBANK CYCLING TEAM (NED),6,RAB,0,0
16,RADIOSHACK-NISSAN (LUX),46,RNT,0,10
17,SAUR-SOJASUN (FRA),0,SAU,0,0
18,SKY PROCYCLING (GBR),61,SKY,1,9
19,TEAM ARGOS-SHIMANO (NED),1,ARG,0,0
20,TEAM EUROPCAR (EUS),6,EUC,0,0
21,TEAM SAXO BANK (DEN),1,SAX,0,0
22,VACANSOLEIL-DCM (NED),1,VCD,0,0
