Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,41,212,168,26,98,73,155,156,138,161
2,61,147,93,183,31,227,15,113,191,165
3,116,147,138,93,174,163,15,72,227,83
4,11,9,3,19,15,2,13,18,17,21
5,91,31,147,153,185,212,85,27,225,138
6,153,147,41,91,85,212,138,168,185,73
7,147,43,191,93,31,15,63,59,187,92
8,32,36,139,205,202,86,194,192,132,81
9,25,13,93,215,216,173,166,205,128,66
10,41,153,91,147,52,212,73,108,168,138
11,94,32,162,36,93,115,92,58,44,134
12,41,91,147,212,185,113,138,109,85,73
13,91,147,205,13,97,194,192,202,92,198
14,98,117,28,138,123,151,48,59,211,103
15,32,132,86,216,194,192,13,205,202,77
16,131,79,56,122,65,44,82,174,119,27
17,32,192,216,194,139,132,93,13,28,179
18,79,179,145,132,216,36,32,139,86,13
19,131,65,61,55,128,152,203,142,86,135
20,132,216,32,139,36,28,192,75,193,194
21,41,153,91,147,185,212,108,109,191,53
