Rugnummer,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,RN,Land
1180,HOLLENSTEIN Reto,0,9,1,0,0,187,Switzerland
1001,BARDET Romain,78,1,0,23,0,12,France
1002,CHEREL Mickaël,6,1,0,3,0,14,France
1004,GASTAUER Ben,0,1,1,0,0,15,Luxembourg
1226,KONIG Leopold,0,20,0,0,0,33,Czech Republic
1006,PERAUD Jean Christophe,0,1,0,0,0,11,France
1007,VAN SUMMEREN Johan,0,1,1,0,0,18,Belgium
1008,VUILLERMOZ Alexis,32,1,0,0,0,19,France
1009,BOOM Lars,0,2,1,0,0,2,Netherlands
1010,FUGLSANG Jakob,31,2,0,3,0,3,Denmark
1011,GRIVKO Andriy,0,2,0,0,0,4,Ukraine
1012,NIBALI Vincenzo,58,2,0,22,0,1,Italy
1013,SCARPONI Michele,0,2,0,0,0,7,Italy
1014,WESTRA Lieuwe,0,2,0,0,0,9,Netherlands
1015,CARUSO Damiano,3,3,0,0,0,62,Italy
1017,OSS Daniel,6,3,0,0,0,64,Italy
1018,SANCHEZ GONZALEZ Samuel,10,3,0,9,0,66,Spain
1019,SCHÄR Michael,9,3,0,0,0,67,Switzerland
1020,VAN AVERMAET Greg,57,3,1,0,0,68,Belgium
1021,VAN GARDEREN Tejay,102,3,1,0,0,61,United States
1022,BARTA Jan,5,4,0,0,0,192,Czech Republic
1024,BENNETT Sam,1,4,1,0,0,193,Ireland
1025,BUCHMANN Emanuel,10,4,0,0,0,194,Germany
1026,DEMPSTER Zakkari,0,4,1,0,0,195,Australia
1027,HUZARSKI Bartosz,0,4,0,0,0,196,Poland
1179,HENDERSON Gregory,0,11,1,0,0,77,New Zealand
1029,NERZ Dominik,0,4,1,0,0,191,Germany
1030,PIMENTA COSTA MENDES José Joao,0,4,0,0,0,197,Portugal
1223,HAAS Nathan,0,15,1,0,0,163,Australia
1032,SCHILLINGER Andreas,0,4,0,0,0,198,Germany
1224,IMPEY Daryl,0,14,1,0,0,104,South Africa
1034,VOSS Paul,0,4,0,0,0,199,Germany
1035,DELAPLACE Anthony,0,5,0,0,0,203,France
1036,FEDRIGO Pierrick,0,5,0,0,0,204,France
1037,FEILLU Brice,0,5,0,0,0,205,France
1038,GERARD Arnaud,0,5,0,0,0,207,France
1039,SEPULVEDA Eduardo,0,5,1,0,0,201,Argentina
1040,VACHON Florian,1,5,0,0,0,209,France
1041,BOUHANNI Nacer,5,6,1,0,0,171,France
1042,NAVARRO GARCIA Daniel,0,6,0,0,0,175,Spain
1166,COPPEL Jerome,0,9,1,0,0,185,France
1044,CAVENDISH Mark,55,7,0,13,5,112,United Kingdom
1045,GOLAS Michal,0,7,0,0,0,113,Poland
1046,KWIATKOWSKI Michal,0,7,1,0,0,111,Poland
1165,CHAVANEL Sylvain,0,9,0,0,0,183,France
1048,MARTIN Tony,94,7,1,0,0,114,Germany
1049,RENSHAW Mark,0,7,1,0,0,115,Australia
1164,BAK Lars Ytting,0,11,0,0,0,72,Denmark
1052,STYBAR Zdenek,22,7,0,0,0,116,Czech Republic
1053,TRENTIN Matteo,0,7,0,0,0,117,Italy
1054,URAN Rigoberto,18,7,0,0,0,118,Colombia
1055,VERMOTE Julien,0,7,0,0,0,119,Belgium
1056,BONNET William,0,8,1,0,0,22,France
1057,CHAVANEL Sébastien,0,8,0,0,0,23,France
1059,DEMARE Arnaud,15,8,0,6,6,24,France
1060,GENIEZ Alexandre,0,8,0,0,0,25,France
1061,LADAGNOUS Matthieu,0,8,0,0,0,26,France
1062,MORABITO Steve,0,8,1,0,0,27,Switzerland
1063,PINOT Thibaut,68,8,0,17,0,21,France
1225,KANGERT Tanel,0,2,0,0,0,6,Estonia
1065,ROY Jérémy,0,8,0,0,0,28,France
