ploegID,Naam,Punten,Afkorting,pnt_dag,pnt_laatst,PN
1,AG2R LA MONDIALE,13,ALM,0,4,0
2,ASTANA PRO TEAM,13,AST,0,2,0
3,BMC RACING TEAM,28,BMC,0,6,0
4,BORA - ARGON 18,0,BOA,0,0,0
5,CANNONDALE PRO CYCLING TEAM,3,CPT,0,0,0
6,"COFIDIS, SOLUTIONS CREDITS",1,COF,0,0,0
7,DIRECT ENERGIE,3,DEN,0,0,0
8,ETIXX - QUICK STEP,12,EQS,0,0,0
9,FDJ,0,FDJ,0,0,0
10,FORTUNEO - VITAL CONCEPT,1,FVC,0,0,0
11,IAM CYCLING,2,IAM,0,0,0
12,LAMPRE - MERIDA,3,LAM,0,0,0
13,LOTTO SOUDAL,13,LTS,3,3,0
14,MOVISTAR TEAM,46,MOV,0,10,0
15,ORICA GreenEDGE,15,OGE,0,0,0
16,TEAM DIMENSION DATA,2,DDD,1,1,0
17,TEAM GIANT - ALPECIN,3,TGA,0,0,0
18,TEAM KATUSHA,1,KAT,0,0,0
19,TEAM LOTTO NL - JUMBO,5,TLJ,0,0,0
20,TEAM SKY,40,SKY,0,8,0
21,TINKOFF,12,TNK,5,5,0
22,TREK - SEGAFREDO,3,TFS,0,0,0
