Etappe,R1,R2,R3,R4,R5
1,1161,1083,1214,1131,1227
2,1214,1081,1142,1172,1203
3,1214,1081,1142,1203,1172
4,1214,1081,1142,1172,1203
5,1031,1081,1142,1181,1203
6,1031,1081,1142,1181,1203
7,1031,1151,1081,1142,1181
8,1203,1151,1181,1084,1142
9,1203,1151,1084,1141,1181
10,1203,1151,1084,1141,1181
11,1203,1151,1084,1141,1221
12,1203,1151,1141,1221,1011
13,1203,1221,1151,1141,1142
14,1203,1221,1151,1141,1142
15,1203,1221,1151,1141,1142
16,1203,1221,1151,1141,1142
17,1203,1221,1151,1141,1011
18,1203,1221,1151,1141,1011
19,1203,1011,1141,1151,1032
20,1203,1011,1141,1151,1032
21,1203,1011,1141,1151,1032
