rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,RN,Land
1011,Romain Bardet,90,1,0,33,0,41,
1012,Alexis Gougeard,0,1,0,0,0,47,
1013,Domenico Pozzovivo,4,1,0,0,0,48,
1014,Jan Bakelants,0,1,0,0,0,42,
1015,Mikaël Chérel,0,1,0,0,0,43,
1016,Cyril Gautier,0,1,0,0,0,46,
1017,Alexis Vuillermoz,11,1,0,1,0,49,
1018,Ben Gastauer,0,1,0,0,0,45,
1021,Fabio Aru,28,2,0,8,0,21,
1022,Paolo Tiralongo,0,2,0,0,0,29,
1023,Luis León Sánchez,0,2,0,0,0,28,
1024,Diego Rosa,3,2,0,0,0,27,
1025,Andrij Grivko,0,2,0,0,0,24,
1026,Vincenzo Nibali,21,2,0,3,0,22,
1027,Tanel Kangert,0,2,0,0,0,25,
1028,Aleksej Loetsenko,0,2,0,0,0,26,
1029,Jakob Fuglsang,0,2,0,0,0,23,
1031,Greg Van Avermaet,80,3,0,3,0,98,
1032,Richie Porte,33,3,0,18,0,91,
1033,Tejay van Garderen,1,3,0,0,0,99,
1034,Damiano Caruso,3,3,0,0,0,94,
1035,Rohan Dennis,6,3,1,0,0,95,
1036,Michael Schär,0,3,0,0,0,97,
1037,Markus Burghardt,0,3,0,0,0,93,
1038,Brent Bookwalter,0,3,0,0,0,92,
1039,Amaël Moinard,0,3,0,0,0,96,
1041,Jan Bárta,0,4,0,0,0,133,
1042,Patrick Konrad,0,4,0,0,0,137,
1043,Sam Bennett,2,4,0,2,2,135,
1044,Emanuel Buchmann,0,4,0,0,0,131,
1045,Bartosz Huzarski,5,4,0,0,0,136,
1046,Cesare Benedetti,0,4,0,0,0,134,
1047,Andreas Schillinger,0,4,0,0,0,138,
1048,Paul Voss,14,4,0,0,0,139,
1049,Shane Archbold,1,4,1,0,0,132,
1051,Pierre Rolland,9,5,0,5,0,81,
1052,Tom-Jelte Slagter,1,5,0,0,0,88,
1053,Alex Howes,0,5,0,0,0,84,
1054,Matti Breschel,0,5,1,0,0,82,
1055,Lawson Craddock,0,5,0,0,0,83,
1056,Dylan van Baarle,0,5,0,0,0,89,
1057,Ramunas Navardauskas,4,5,0,4,4,87,
1058,Sebastian Langeveld,0,5,1,0,0,86,
1059,Kristijan Koren,0,5,0,0,0,85,
1062,Arnold Jeannesson,0,6,0,0,0,195,
1063,Christophe Laporte,25,6,0,3,3,196,
1064,Daniel Navarro,34,6,1,0,0,191,
1065,Geoffrey Soupe,0,6,0,0,0,199,
1066,Borut Bozic,0,6,1,0,0,192,
1067,Jérôme Cousin,0,6,0,0,0,193,
1068,Cyril Lemoine,0,6,0,0,0,197,
1069,Luis Ángel Maté,5,6,0,0,0,198,
1161,Mark Cavendish,153,16,1,0,0,101,
1162,Mark Renshaw,0,16,1,0,0,108,
1163,Edvald Boasson Hagen,24,16,0,8,8,103,
1164,Daniel Teklehaimanot,4,16,0,0,0,109,
1165,Serge Pauwels,25,16,0,5,0,107,
1166,Natnael Berhane,0,16,0,0,0,102,
1167,Stephen Cummings,22,16,0,0,0,104,
