rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,RN,Land
22657,BAKELANTS Jan,6,1,0,0,0,0,0,0,0,12,Belgium
25394,BARDET Romain,159,1,0,31,0,102,5,0,0,11,France
29820,DOMONT Axel,0,1,0,0,0,0,0,0,0,13,France
18615,FRANK Mathias,0,1,0,0,0,0,0,0,0,14,Switzerland
18582,GASTAUER Ben,0,1,0,0,0,0,0,0,0,15,Luxembourg
19435,GAUTIER Cyril,0,1,0,0,0,0,0,0,0,16,France
37581,LATOUR Pierre,37,1,0,0,0,2,0,0,35,17,France
41080,NAESEN Oliver,0,1,0,0,0,0,0,0,0,18,Belgium
22476,VUILLERMOZ Alexis,11,1,0,8,0,8,3,0,0,19,France
30211,ARU Fabio,182,2,0,18,0,120,18,0,0,51,Italy
18581,CATALDO Dario,0,2,1,0,0,0,0,0,0,52,Italy
7124,FUGLSANG Jakob,15,2,1,0,0,6,0,0,0,53,Denmark
350,GRIVKO Andriy,0,2,0,0,0,0,0,0,0,54,Ukraine
16787,GRUZDEV Dmitriy,0,2,0,0,0,0,0,0,0,55,Kazahkstan
36785,KOZHATAYEV Bakhtiyar,0,2,0,0,0,0,0,0,0,56,Kazahkstan
36193,LUTSENKO Alexey,8,2,0,0,0,0,0,0,8,57,Kazahkstan
35739,VALGREN ANDERSEN Michael,8,2,0,4,0,0,0,0,4,58,Denmark
20554,ZEITS Andrey,0,2,0,0,0,0,0,0,0,59,Kazahkstan
6758,ARASHIRO Yukiya,0,3,0,0,0,0,0,0,0,192,Japan
1617,BOLE Grega,0,3,0,0,0,0,0,0,0,193,Slovenia
1604,BOZIC Borut,5,3,0,5,5,0,0,0,0,194,Slovenia
1595,BRAJKOVIC Janez,0,3,0,0,0,0,0,0,0,195,Slovenia
53354,CINK Ondrej,0,3,0,0,0,0,0,0,0,196,Czech Republic
28431,COLBRELLI Sonny,19,3,0,6,0,0,0,7,0,197,Italy
35392,GRMAY Tsgabu Gebremaryam,0,3,0,0,0,0,0,0,0,198,Ethiopia
22689,IZAGUIRRE INSAUSTI Jon,0,3,1,0,0,0,0,0,0,191,Basque Country
6854,MORENO BAZAN Javier,0,3,0,0,0,0,0,0,0,199,Spain
20914,CARUSO Damiano,10,4,0,10,0,10,0,0,0,42,Italy
22918,DE MARCHI Alessandro,0,4,0,0,0,0,0,0,0,43,Italy
43607,KÜNG Stefan,50,4,0,2,0,16,0,3,14,44,Switzerland
251,MOINARD Amaël,0,4,0,0,0,0,0,0,0,45,France
21310,PORTE Richie,16,4,1,0,0,8,0,0,0,41,Australia
256,ROCHE Nicholas,13,4,0,0,0,0,0,0,0,46,Ireland
7063,SCHÄR Michael,0,4,0,0,0,0,0,0,0,47,Switzerland
6968,VAN AVERMAET Greg,31,4,0,0,0,0,0,0,0,48,Belgium
19814,WYSS Danilo,1,4,0,0,0,0,0,0,0,49,Switzerland
1360,BODNAR Maciej,22,5,0,0,0,0,0,0,0,112,Poland
36986,BUCHMANN Emanuel,22,5,0,17,0,6,0,0,16,113,Germany
315,BURGHARDT Marcus,0,5,0,0,0,0,0,0,0,114,Germany
23906,MAJKA Rafal,4,5,1,0,0,0,0,0,0,115,Poland
31949,MCCARTHY Jay,6,5,0,0,0,0,0,0,0,116,Australia
33183,POLJANSKI Pawel,0,5,0,0,0,0,0,0,0,117,Poland
19917,SAGAN Juraj,0,5,1,0,0,0,0,0,0,118,Slovakia
23647,SAGAN Peter,29,5,1,0,0,4,3,1,0,111,Slovakia
26853,SELIG Rüdiger,16,5,0,2,2,0,0,0,0,119,Germany
43670,BETTIOL Alberto,6,6,0,0,0,0,0,0,0,182,Italy
26937,BEVIN Patrick,0,6,0,0,0,0,0,0,0,183,New Zealand
24439,BROWN Nathan,12,6,0,0,0,0,10,0,0,184,United States
6810,CLARKE Simon,0,6,0,0,0,0,0,0,0,185,Australia
21906,PHINNEY Taylor,9,6,0,0,0,0,9,0,0,186,United States
18662,ROLLAND Pierre,0,6,0,0,0,0,0,0,0,181,France
21770,TALANSKY Andrew,0,6,0,0,0,0,0,0,0,187,United States
15882,URAN Rigoberto,161,6,0,35,0,93,0,2,0,188,Colombia
23816,VAN BAARLE Dylan,3,6,0,3,0,0,0,0,3,189,Netherlands
27594,BOUHANNI Nacer,36,7,0,8,8,0,0,0,0,151,France
16514,CLAEYS Dimitri,0,7,0,0,0,0,0,0,0,152,Belgium
22952,EDET Nicolas,0,7,0,0,0,0,0,0,0,153,France
42312,LAPORTE Christophe,6,7,0,0,0,0,0,0,0,154,France
223,LEMOINE Cyril,0,7,0,0,0,0,0,0,0,155,France
7051,MATE MARDONES Luis Angel,0,7,0,0,0,0,0,0,0,156,Spain
148,NAVARRO GARCIA Daniel,0,7,0,0,0,0,0,0,0,157,Spain
31116,SENECHAL Florian,0,7,0,0,0,0,0,0,0,158,France
20732,SIMON Julien,0,7,0,0,0,0,0,0,0,159,France
16265,BOASSON HAGEN Edvald,101,8,0,21,10,6,0,13,0,92,Norway
6964,CAVENDISH Mark,8,8,1,0,0,0,0,0,0,91,United Kingdom
2631,CUMMINGS Stephen,0,8,0,0,0,0,0,0,0,93,United Kingdom
270,EISEL Bernhard,0,8,0,0,0,0,0,0,0,94,Austria
22001,JANSE VAN RENSBURG Reinardt,0,8,0,0,0,0,0,0,0,95,South Africa
1334,PAUWELS Serge,4,8,0,3,0,2,1,0,0,96,Belgium
282,RENSHAW Mark,0,8,1,0,0,0,0,0,0,97,Australia
24322,THWAITES Scott,0,8,0,0,0,0,0,0,0,98,United Kingdom
15948,VENTER Jacobus,0,8,0,0,0,0,0,0,0,99,South Africa
45003,BOUDAT Thomas,0,9,0,0,0,0,0,0,0,172,France
42981,CALMEJANE Lilian,34,9,0,5,0,0,5,0,5,173,France
240,CHAVANEL Sylvain,6,9,0,0,0,0,0,0,0,174,France
192,GENE Yohann,0,9,0,0,0,0,0,0,0,175,France
22724,PETIT Adrien,6,9,0,0,0,0,0,0,0,176,France
7179,QUEMENEUR Perrig,0,9,0,0,0,0,0,0,0,177,France
22257,SICARD Romain,0,9,0,0,0,0,0,0,0,178,Basque Country
25650,TULIK Angelo,0,9,0,0,0,0,0,0,0,179,France
206,VOECKLER Thomas,0,9,0,0,0,0,0,0,0,171,France
24258,CIMOLAI Davide,9,10,0,4,4,0,0,0,0,72,Italy
267,DELAGE Mickael,0,10,1,0,0,0,0,0,0,73,France
25852,DÉMARE Arnaud,82,10,1,0,0,0,0,27,0,71,France
20482,GUARNIERI Jacopo,0,10,1,0,0,0,0,0,0,74,Italy
18566,KONOVALOVAS Ignatas,0,10,1,0,0,0,0,0,0,75,Lithuania
31945,LE GAC Olivier,0,10,0,0,0,0,0,0,0,76,France
28197,MOLARD Rudy,0,10,0,0,0,0,0,0,0,77,France
23898,PINOT Thibaut,2,10,1,0,0,0,0,0,0,78,France
22704,VICHOT Arthur,0,10,1,0,0,0,0,0,0,79,France
20522,BOUET Maxime,0,11,0,0,0,0,0,0,0,212,France
18785,FEILLU Brice,5,11,0,5,0,5,0,0,0,213,France
49498,GESBERT Elie,5,11,0,1,0,0,0,0,1,214,France
22662,HARDY Romain,2,11,0,0,0,0,0,0,0,215,France
36436,MCLAY Daniel,14,11,1,0,0,0,0,0,0,211,United Kingdom
26846,PERICHON Pierre-Luc,4,11,0,3,3,0,0,0,0,216,France
23923,PICHON Laurent,0,11,0,0,0,0,0,0,0,217,France
36341,SEPULVEDA Eduardo,0,11,0,0,0,0,0,0,0,218,Argentina
20560,VACHON Florian,0,11,0,0,0,0,0,0,0,219,France
55,BAK Lars Ytting,0,12,0,0,0,0,0,0,0,132,Denmark
43736,BENOOT Tiesj,15,12,0,9,0,1,0,0,8,133,Belgium
16516,DE GENDT Thomas,35,12,0,16,0,0,24,5,0,134,Belgium
20585,GALLOPIN Tony,14,12,0,0,0,0,0,0,0,135,France
698,GREIPEL André,90,12,0,33,15,0,0,39,0,131,Germany
3093,HANSEN Adam,0,12,0,0,0,0,0,0,0,136,Australia
939,ROELANDTS Jurgen,5,12,0,0,0,0,0,0,0,137,Belgium
1221,SIEBERG Marcel,0,12,1,0,0,0,0,0,0,138,Germany
23418,WELLENS Tim,0,12,1,0,0,0,0,0,0,139,Belgium
15815,AMADOR BIKKAZAKOVA Andrey,0,13,0,0,0,0,0,0,0,22,Costa Rica
391,BENNATI Daniele,9,13,0,1,1,0,0,0,0,23,Italy
23940,BETANCUR GOMEZ Carlos Alberto,3,13,0,3,0,3,0,0,0,24,Colombia
21539,CASTROVIEJO NICOLAS Jonathan,0,13,0,0,0,0,0,0,0,25,Basque Country
112,ERVITI Imanol,0,13,0,0,0,0,0,0,0,26,Spain
28657,HERRADA LOPEZ Jesús,0,13,0,0,0,0,0,0,0,27,Spain
23627,QUINTANA ROJAS Nairo Alexander,27,13,0,9,0,9,0,0,0,21,Colombia
29735,SÜTTERLIN Jasha,0,13,0,0,0,0,0,0,0,28,Germany
130,VALVERDE BELMONTE Alejandro,0,13,1,0,0,0,0,0,0,29,Spain
415,ALBASINI Michael,2,14,0,0,0,0,0,0,0,82,Switzerland
31947,CHAVES RUBIO Johan Esteban,0,14,0,0,0,0,0,0,0,81,Colombia
23942,DURBRIDGE Luke,0,14,1,0,0,0,0,0,0,83,Australia
450,HAYMAN Mathew,0,14,0,0,0,0,0,0,0,84,Australia
35842,HOWSON Damien,0,14,0,0,0,0,0,0,0,85,Australia
2964,IMPEY Daryl,6,14,0,0,0,0,0,0,0,86,South Africa
23783,KEUKELEIRE Jens,15,14,0,0,0,0,0,0,0,87,Belgium
6852,KREUZIGER Roman,6,14,0,0,0,0,0,0,0,88,Czech Republic
36875,YATES Simon,134,14,0,39,0,14,0,0,105,89,United Kingdom
23894,BAUER Jack,0,15,0,0,0,0,0,0,0,102,New Zealand
20606,BRAMBILLA Gianluca,0,15,0,0,0,0,0,0,0,103,Italy
273,GILBERT Philippe,8,15,1,0,0,0,0,0,0,104,Belgium
19780,KITTEL Marcel,177,15,1,0,0,6,0,69,0,101,Germany
18684,MARTIN Daniel,93,15,0,16,0,35,10,1,0,105,Ireland
6899,SABATINI Fabio,0,15,0,0,0,0,0,0,0,106,Italy
7119,STYBAR Zdenek,1,15,0,0,0,0,0,0,0,107,Czech Republic
25907,TRENTIN Matteo,10,15,1,0,0,4,0,0,0,108,Italy
22656,VERMOTE Julien,0,15,0,0,0,0,0,0,0,109,Belgium
23920,HALLER Marco,0,16,0,0,0,0,0,0,0,122,Austria
21705,HOLLENSTEIN Reto,0,16,0,0,0,0,0,0,0,123,Switzerland
1597,KISERLOVSKI Robert,0,16,0,0,0,0,0,0,0,124,Croatia
16120,KRISTOFF Alexander,52,16,0,14,6,0,0,9,0,125,Norway
26212,LAMMERTINK Maurits,0,16,0,0,0,0,0,0,0,126,Netherlands
7526,MACHADO Tiago,0,16,0,0,0,0,0,0,0,127,Portugal
16199,MARTIN Tony,20,16,0,0,0,4,0,0,0,121,Germany
43890,POLITT Nils,1,16,0,0,0,0,1,0,0,128,Germany
41482,ZABEL Rick,0,16,0,0,0,0,0,0,0,129,Germany
28052,BENNETT George,7,17,1,0,0,0,0,0,0,162,New Zealand
1345,GESINK Robert,15,17,1,0,0,0,0,0,0,161,Netherlands
41474,GROENEWEGEN Dylan,65,17,0,24,20,0,0,4,0,163,Netherlands
1332,LEEZER Tom,0,17,0,0,0,0,0,0,0,164,Netherlands
7091,MARTENS Paul,0,17,0,0,0,0,0,0,0,165,Germany
43700,ROGLIC Primoz,74,17,0,18,0,0,46,0,0,166,Slovenia
41999,ROOSEN Timo,0,17,0,0,0,0,0,0,0,167,Netherlands
7602,VAN EMDEN Jos,4,17,1,0,0,0,0,0,0,168,Netherlands
6954,WAGNER Robert,0,17,0,0,0,0,0,0,0,169,Germany
22916,FROOME Christopher,290,18,0,49,0,212,9,3,0,1,United Kingdom
19983,HENAO MONTOYA Sergio,0,18,0,0,0,0,0,0,0,2,Colombia
2534,KIRYIENKA Vasil,21,18,0,0,0,10,0,1,0,3,Belarus
