Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,datum
1,37248,23647,43668,25139,28431,23913,25907,41080,23799,23283,2019-07-06 17:15:59
2,16,15,7,18,17,8,5,9,3,2,2019-07-07 17:00:20
3,35949,23913,23283,6968,23647,25907,28431,37593,43705,23898,2019-07-08 17:03:20
4,23799,16120,43668,23647,41474,37248,25139,23283,23913,42312,2019-07-09 17:37:54
5,23647,43705,25907,28431,6968,20732,23913,43890,23283,35949,2019-07-10 19:21:43
6,35418,44877,37593,7234,23898,35949,23627,36986,7124,23893,2019-07-11 17:57:28
7,41474,43668,23647,28431,54348,23799,25139,23283,23913,16120,2019-07-12 17:51:23
8,16516,23898,35949,23913,23647,25907,37593,6968,52181,7234,2019-07-13 17:35:54
9,2964,43736,23687,41080,23283,256,47288,49769,6810,23842,2019-07-14 17:35:06
10,43705,23799,43668,23913,23647,54348,28431,25907,41080,6968,2019-07-15 17:16:39
11,43668,41474,23799,23647,23922,28431,54348,47062,16120,23924,2019-07-17 17:43:46
12,36875,30197,44124,43736,22888,25907,41080,19599,6810,23283,2019-07-18 16:53:42
13,35949,7234,16516,15882,21310,16260,23898,49918,48301,24926,2019-07-19 17:54:48
14,23898,35949,16260,36986,52181,23893,15882,7234,23924,7124,2019-07-20 17:15:27
15,36875,23898,23893,36986,52181,49219,7234,16260,130,21310,2019-07-21 17:01:01
16,43668,23799,41474,23647,42495,23913,25907,23283,16120,25910,2019-07-23 18:19:45
17,25907,49918,6968,18657,35418,21841,20576,26846,27365,28657,2019-07-24 17:07:36
18,23627,25394,36193,49219,20914,43736,43171,52181,1334,16260,2019-07-25 17:11:05
19,99998,99998,99998,99998,99998,99998,99998,99998,99998,99998,2019-07-27 10:11:05
20,381,130,23893,52181,7234,15882,36986,16260,19624,23627,2019-07-27 16:34:24
21,43668,41474,42495,6853,16265,698,25907,23283,24828,23647,2019-07-28 22:01:55
