rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage
25394,BARDET Romain,51,1,0,31,0,6,25,0,0,31,31,France,30,63
7538,CHEREL Mickaël,0,1,0,0,0,0,0,0,0,0,32,France,0,0
51127,COSNEFROY Benoit,0,1,0,0,0,0,0,0,0,0,33,France,1,2
18615,FRANK Mathias,0,1,0,0,0,0,0,0,0,0,34,Switzerland,0,0
20585,GALLOPIN Tony,0,1,0,0,0,0,0,0,0,0,35,France,3,6
6810,CLARKE Simon,8,8,0,0,0,0,0,0,0,0,93,Australia,0,0
43066,GOUGEARD Alexis,0,1,0,0,0,0,0,0,0,0,36,France,0,0
41080,NAESEN Oliver,24,1,0,0,0,0,0,0,0,0,37,Belgium,2,4
20732,SIMON Julien,8,6,0,0,0,0,0,0,0,0,158,France,0,0
22476,VUILLERMOZ Alexis,0,1,0,0,0,0,0,0,0,0,38,France,0,0
30197,BILBAO LÓPEZ DE ARMENTIA Pello,20,2,0,0,0,0,0,0,0,0,72,Basque Country,2,4
41651,CORT NIELSEN Magnus,0,2,0,0,0,0,0,0,0,0,77,Denmark,1,2
35495,FRAILE MATARRANZ Omar,0,2,0,0,0,0,0,0,0,0,73,Basque Country,1,2
7124,FUGLSANG Jakob,3,2,1,0,0,0,0,0,0,0,71,Denmark,36,75
30154,HOULE Hugo,0,2,0,0,0,0,0,0,0,0,74,Canada,0,0
21841,IZAGUIRRE INSAUSTI Gorka,8,2,0,0,0,0,0,0,0,0,75,Basque Country,2,4
36193,LUTSENKO Alexey,21,2,0,6,0,2,4,0,0,6,76,Kazahkstan,2,4
153,SANCHEZ GIL Luis Leon,0,2,1,0,0,0,0,0,0,0,78,Spain,1,2
20914,CARUSO Damiano,23,3,0,12,0,0,12,0,0,12,42,Italy,0,0
28431,COLBRELLI Sonny,67,3,0,12,0,0,0,12,0,12,43,Italy,1,2
23339,DENNIS Rohan,1,3,1,0,0,0,0,0,0,0,44,Australia,8,17
43812,MOHORIC Matej,1,3,0,0,0,0,0,0,0,0,46,Slovenia,1,2
381,NIBALI Vincenzo,36,3,0,10,0,0,10,0,0,10,41,Italy,14,29
35418,TEUNS Dylan,36,3,0,0,0,0,0,0,0,0,47,Belgium,0,0
36986,BUCHMANN Emanuel,70,4,0,36,0,36,0,0,0,36,12,Germany,7,15
315,BURGHARDT Marcus,0,4,0,0,0,0,0,0,0,0,13,Germany,0,0
24463,KONRAD Patrick,0,4,0,0,0,0,0,0,0,0,14,Austria,2,4
44124,MÜHLBERGER Gregor,25,4,0,10,0,0,0,0,10,10,15,Austria,0,0
20576,OSS Daniel,6,4,0,0,0,0,0,0,0,0,16,Italy,0,0
35878,PÖSTLBERGER Lukas,0,4,1,0,0,0,0,0,0,0,17,Austria,0,0
23647,SAGAN Peter,152,4,0,26,1,0,0,25,0,25,11,Slovakia,39,81
43844,SCHACHMANN Maximilian,0,4,1,0,0,0,0,0,0,0,18,Germany,5,10
26937,BEVIN Patrick,3,5,1,0,0,0,0,0,0,0,112,New Zealand,0,0
22918,DE MARCHI Alessandro,3,5,1,0,0,0,0,0,0,0,113,Italy,0,0
18656,GESCHKE Simon,3,5,0,0,0,0,0,0,0,0,114,Germany,1,2
1334,PAUWELS Serge,5,5,0,0,0,0,0,0,0,0,115,Belgium,0,0
7063,SCHÄR Michael,3,5,0,0,0,0,0,0,0,0,117,Switzerland,0,0
6968,VAN AVERMAET Greg,49,5,0,4,0,0,0,4,0,4,111,Belgium,10,21
22258,ROSSETTO Stéphane,0,6,0,0,0,0,0,0,0,0,157,France,0,0
26846,PERICHON Pierre-Luc,4,6,0,0,0,0,0,0,0,0,156,France,0,0
22952,EDET Nicolas,0,6,1,0,0,0,0,0,0,0,153,France,0,0
28657,HERRADA LOPEZ Jesús,2,6,0,1,0,1,0,0,0,1,154,Spain,2,4
42312,LAPORTE Christophe,1,6,1,0,0,0,0,0,0,0,151,France,4,8
28203,PEREZ Anthony,0,6,0,0,0,0,0,0,0,0,155,France,0,0
35949,ALAPHILIPPE Julian,134,7,0,33,0,32,0,1,0,33,21,France,35,73
49918,ASGREEN Kasper,31,7,0,0,0,0,0,0,0,0,22,Denmark,1,2
18572,DEVENYNS Dries,7,7,0,0,0,0,0,0,0,0,23,Belgium,1,2
30373,LAMPAERT Yves,7,7,0,0,0,0,0,0,0,0,24,Belgium,2,4
48301,MAS NICOLAU Enric,24,7,0,15,0,0,0,0,15,15,25,Spain,14,29
7242,MORKOV Michael,7,7,0,0,0,0,0,0,0,0,26,Denmark,0,0
6853,RICHEZE Ariel Maximiliano,19,7,0,12,12,0,0,0,0,0,27,Argentina,0,0
23799,VIVIANI Elia,112,7,0,15,0,0,0,15,0,15,28,Italy,31,65
43670,BETTIOL Alberto,4,8,0,0,0,0,0,0,0,0,92,Italy,1,2
35406,BERHANE TEWELDEMEDHIN Natnael ,0,6,0,0,0,0,0,0,0,0,152,Eritrea,0,0
