rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage,zeldzaam
21705,"HOLLENSTEIN Reto",0,4,0,0,0,0,0,0,0,0,35,Switzerland,0,0,0
51127,"COSNEFROY Benoit",0,13,0,0,0,0,0,0,0,0,121,France,1,2,0
41080,"NAESEN Oliver",0,13,0,0,0,0,0,0,0,0,123,Belgium,1,2,0
50087,"O'CONNOR Ben Alexander",159,13,0,42,0,36,6,0,0,42,124,Australia,5,9,0
49211,"PARET-PEINTRE Aurélien",39,13,0,18,0,6,0,0,12,18,125,France,4,8,0
46078,"PETERS Nans",0,13,1,0,0,0,0,0,0,0,126,France,0,0,0
7063,"SCHÄR Michael",0,13,0,0,0,0,0,0,0,0,127,Switzerland,0,0,0
6968,"VAN AVERMAET Greg",0,13,0,0,0,0,0,0,0,0,128,Belgium,3,6,0
33192,"MERLIER Tim",31,11,1,0,0,0,0,0,0,0,103,Belgium,23,43,0
37593,"MEURISSE Xandro",0,11,0,0,0,0,0,0,0,0,104,Belgium,0,0,0
54348,"PHILIPSEN Jasper",432,11,0,92,80,0,0,12,0,12,105,Belgium,0,0,0
45293,"RICKAERT Jonas",0,11,0,0,0,0,0,0,0,0,106,Belgium,0,0,0
43684,"VAN DER POEL Mathieu",53,11,1,0,0,0,0,0,0,0,101,Netherlands,37,70,0
51823,"ARANBURU DEBA Alex",80,19,0,16,16,0,0,0,0,0,182,"Basque Country",1,2,0
35495,"FRAILE MATARRANZ Omar",24,19,0,0,0,0,0,0,0,0,184,"Basque Country",4,8,0
7124,"FUGLSANG Jakob",0,19,1,0,0,0,0,0,0,0,181,Denmark,4,8,0
30154,"HOULE Hugo",0,19,0,0,0,0,0,0,0,0,186,Canada,0,0,0
22689,"IZAGIRRE INSAUSTI Ion",96,19,0,0,0,0,0,0,0,0,187,"Basque Country",2,4,0
36193,"LUTSENKO Alexey",35,19,0,25,0,25,0,0,0,25,188,Kazahkstan,10,19,0
54297,"BARTHE Cyril",8,23,0,8,8,0,0,0,0,0,222,France,1,2,0
37139,"COQUARD Bryan",0,23,1,0,0,0,0,0,0,0,221,France,5,9,0
36610,"PACHER Quentin",16,23,0,0,0,0,0,0,0,0,227,France,0,0,0
18662,"ROLLAND Pierre",0,23,0,0,0,0,0,0,0,0,228,France,0,0,0
30197,"BILBAO LÓPEZ DE ARMENTIA Pello",43,17,0,19,0,19,0,0,0,19,162,"Basque Country",1,2,0
28431,"COLBRELLI Sonny",60,17,0,15,0,0,0,15,0,15,163,Italy,29,55,0
44802,"HAIG Jack",39,17,1,0,0,0,0,0,0,0,161,Australia,5,9,0
43812,"MOHORIC Matej",208,17,0,8,0,0,0,8,0,8,165,Slovenia,0,0,0
698,"GREIPEL André",116,4,0,40,40,0,0,0,0,0,34,Germany,1,2,0
19624,"POELS Wouter",125,17,0,25,0,5,20,0,0,25,166,Netherlands,1,2,0
35418,"TEUNS Dylan",108,17,0,4,0,4,0,0,0,4,167,Belgium,1,2,0
36986,"BUCHMANN Emanuel",0,8,0,0,0,0,0,0,0,0,72,Germany,2,4,0
24421,"KELDERMAN Wilco",66,8,0,32,0,32,0,0,0,32,73,Netherlands,18,34,0
24463,"KONRAD Patrick",204,8,0,0,0,0,0,0,0,0,74,Austria,1,2,0
20576,"OSS Daniel",0,8,0,0,0,0,0,0,0,0,75,Italy,0,0,0
43890,"POLITT Nils",140,8,0,0,0,0,0,0,0,0,76,Germany,0,0,0
35878,"PÖSTLBERGER Lukas",0,8,0,0,0,0,0,0,0,0,77,Austria,1,2,0
23647,"SAGAN Peter",24,8,1,0,0,0,0,0,0,0,71,Slovakia,32,60,0
53156,"SCHELLING Ide",0,8,0,0,0,0,0,0,0,0,78,Netherlands,1,2,0
18656,"GESCHKE Simon",0,10,0,0,0,0,0,0,0,0,93,Germany,0,0,0
28657,"HERRADA LOPEZ Jesús",0,10,0,0,0,0,0,0,0,0,94,Spain,2,4,0
42312,"LAPORTE Christophe",96,10,0,0,0,0,0,0,0,0,95,France,5,9,0
42839,"MARTIN Guillaume",54,10,0,22,0,22,0,0,0,22,91,France,6,11,0
28203,"PEREZ Anthony",1,10,0,1,0,0,1,0,0,1,96,France,0,0,0
26846,"PERICHON Pierre-Luc",48,10,0,0,0,0,0,0,0,0,97,France,0,0,0
23927,"WALLAYS Jelle",0,10,0,0,0,0,0,0,0,0,98,Belgium,1,2,0
35949,"ALAPHILIPPE Julian",51,6,0,6,0,0,0,6,0,6,51,France,45,85,0
49918,"ASGREEN Kasper",76,6,0,0,0,0,0,0,0,0,52,Denmark,7,13,0
47340,"BALLERINI Davide",36,6,0,0,0,0,0,0,0,0,53,Italy,2,4,0
30410,"CATTANEO Mattia",196,6,0,12,0,12,0,0,0,12,54,Italy,0,0,0
25721,"DECLERCQ Tim",0,6,0,0,0,0,0,0,0,0,56,Belgium,1,2,0
7242,"MORKOV Michael",114,6,0,2,0,0,0,2,0,2,58,Denmark,1,2,0
53509,"BISSEGGER Stefan",20,12,0,0,0,0,0,0,0,0,112,Switzerland,9,17,0
41651,"CORT NIELSEN Magnus",76,12,0,0,0,0,0,0,0,0,116,Denmark,0,0,0
52237,"HIGUITA GARCIA Sergio Andres",142,12,0,10,0,0,0,0,10,10,114,Colombia,0,0,0
50664,"POWLESS Neilson",6,12,0,6,0,0,0,0,6,6,117,"United States",1,2,0
15882,"URAN URAN Rigoberto",29,12,0,16,0,16,0,0,0,16,111,Colombia,17,32,0
35739,"VALGREN ANDERSEN Michael",24,12,0,0,0,0,0,0,0,0,115,Denmark,0,0,0
