type,year_int,position,renner_ID,points
1,2021,1,35949,25
1,2021,2,23913,20
1,2021,3,43700,15
1,2021,4,44802,12
1,2021,5,24421,10
1,2021,6,53443,8
1,2021,7,51700,6
1,2021,8,52237,4
1,2021,9,18657,2
1,2021,10,7234,1
2,2021,1,43684,25
2,2021,2,53443,20
2,2021,3,43700,15
2,2021,4,24421,12
2,2021,5,35949,10
2,2021,6,18657,8
2,2021,7,53052,6
2,2021,8,52237,4
2,2021,9,37581,2
2,2021,10,44802,1
3,2021,1,33192,25
3,2021,2,54348,20
3,2021,3,27594,15
3,2021,4,47340,12
3,2021,5,28431,10
3,2021,6,35949,8
3,2021,7,43684,6
3,2021,8,47062,4
3,2021,9,44819,2
3,2021,10,42314,1
4,2021,1,6964,25
4,2021,2,27594,20
4,2021,3,54348,15
4,2021,4,23913,12
4,2021,5,23647,10
4,2021,6,47062,8
4,2021,7,42312,6
4,2021,8,47296,4
4,2021,9,19640,2
4,2021,10,698,1
5,2021,1,53443,25
5,2021,2,43607,20
5,2021,3,53052,15
5,2021,4,43705,12
5,2021,5,43684,10
5,2021,6,49918,8
5,2021,7,43700,6
5,2021,8,30410,4
5,2021,9,21310,2
5,2021,10,36193,1
6,2021,1,6964,25
6,2021,2,54348,20
6,2021,3,27594,15
6,2021,4,25852,12
6,2021,5,23647,10
6,2021,6,47062,8
6,2021,7,33192,6
6,2021,8,43705,4
6,2021,9,23913,2
6,2021,10,47296,1
7,2021,1,43812,25
7,2021,2,23283,20
7,2021,3,41651,15
7,2021,4,43684,12
7,2021,5,49918,10
7,2021,6,48263,8
7,2021,7,24463,6
7,2021,8,43705,4
7,2021,9,55616,2
7,2021,10,53144,1
8,2021,1,35418,25
8,2021,2,22689,20
8,2021,3,43171,15
8,2021,4,53443,12
8,2021,5,19624,10
8,2021,6,36875,8
8,2021,7,49211,6
8,2021,8,42839,4
8,2021,9,30410,2
8,2021,10,53052,1
9,2021,1,50087,25
9,2021,2,30410,20
9,2021,3,28431,15
9,2021,4,42839,12
9,2021,5,48263,10
9,2021,6,53443,8
9,2021,7,45118,6
9,2021,8,53052,4
9,2021,9,48301,2
9,2021,10,15882,1
10,2021,1,6964,25
10,2021,2,43705,20
10,2021,3,54348,15
10,2021,4,27594,12
10,2021,5,23913,10
10,2021,6,7242,8
10,2021,7,698,6
10,2021,8,23647,4
10,2021,9,44819,2
10,2021,10,47062,1
11,2021,1,43705,25
11,2021,2,27208,20
11,2021,3,18657,15
11,2021,4,53443,12
11,2021,5,15882,10
11,2021,6,45118,8
11,2021,7,53052,6
11,2021,8,36193,4
11,2021,9,24421,2
11,2021,10,48301,1
12,2021,1,43890,25
12,2021,2,112,20
12,2021,3,58398,15
12,2021,4,43607,12
12,2021,5,24718,10
12,2021,6,698,8
12,2021,7,27113,6
12,2021,8,55616,4
12,2021,9,35949,2
12,2021,10,19983,1
13,2021,1,6964,25
13,2021,2,7242,20
13,2021,3,54348,15
13,2021,4,49769,12
13,2021,5,41481,10
13,2021,6,51823,8
13,2021,7,42312,6
13,2021,8,698,4
13,2021,9,41651,2
13,2021,10,23283,1
14,2021,1,18657,25
14,2021,2,24463,20
14,2021,3,52237,15
14,2021,4,30410,12
14,2021,5,43171,10
14,2021,6,35495,8
14,2021,7,49498,6
14,2021,8,36610,4
14,2021,9,36097,2
14,2021,10,31947,1
15,2021,1,51074,25
15,2021,2,130,20
15,2021,3,19624,15
15,2021,4,22689,12
15,2021,5,44824,10
15,2021,6,23627,8
15,2021,7,51700,6
15,2021,8,18684,4
15,2021,9,48263,2
15,2021,10,49211,1
16,2021,1,24463,25
16,2021,2,28431,20
16,2021,3,23913,15
16,2021,4,26846,12
16,2021,5,48263,10
16,2021,6,51823,8
16,2021,7,27365,6
16,2021,8,22657,4
16,2021,9,51700,2
16,2021,10,47252,1
17,2021,1,53443,25
17,2021,2,53052,20
17,2021,3,45118,15
17,2021,4,51700,12
17,2021,5,50087,10
17,2021,6,24421,8
17,2021,7,30197,6
17,2021,8,52237,4
17,2021,9,15882,2
17,2021,10,35418,1
18,2021,1,53443,25
18,2021,2,53052,20
18,2021,3,45118,15
18,2021,4,48301,12
18,2021,5,18684,10
18,2021,6,51074,8
18,2021,7,52237,6
18,2021,8,50087,4
18,2021,9,24421,2
18,2021,10,130,1
19,2021,1,43812,25
19,2021,2,42312,20
19,2021,3,49757,15
19,2021,4,37248,12
19,2021,5,43890,10
19,2021,6,27113,8
19,2021,7,35739,6
19,2021,8,52339,4
19,2021,9,44819,2
19,2021,10,23283,1
20,2021,1,43705,25
20,2021,2,49918,20
20,2021,3,53052,15
20,2021,4,43607,12
20,2021,5,53509,10
20,2021,6,30410,8
20,2021,7,53340,6
20,2021,8,53443,4
20,2021,9,41651,2
20,2021,10,23816,1
21,2021,1,43705,25
21,2021,2,54348,20
21,2021,3,6964,15
21,2021,4,24718,12
21,2021,5,698,10
21,2021,6,41481,8
21,2021,7,23913,6
21,2021,8,51823,4
21,2021,9,54297,2
21,2021,10,42314,1
1,2022,1,35949,25
1,2022,2,23913,20
1,2022,3,43700,15
1,2022,4,44802,12
1,2022,5,24421,10
1,2022,6,53443,8
1,2022,7,51700,6
1,2022,8,52237,4
1,2022,9,18657,2
1,2022,10,7234,1
2,2022,1,43684,25
2,2022,2,53443,20
2,2022,3,43700,15
2,2022,4,24421,12
2,2022,5,35949,10
2,2022,6,18657,8
2,2022,7,53052,6
2,2022,8,52237,4
2,2022,9,37581,2
2,2022,10,44802,1
3,2022,1,33192,25
3,2022,2,54348,20
3,2022,3,27594,15
3,2022,4,47340,12
3,2022,5,28431,10
3,2022,6,35949,8
3,2022,7,43684,6
3,2022,8,47062,4
3,2022,9,44819,2
3,2022,10,42314,1
4,2022,1,6964,25
4,2022,2,27594,20
4,2022,3,54348,15
4,2022,4,23913,12
4,2022,5,23647,10
4,2022,6,47062,8
4,2022,7,42312,6
4,2022,8,47296,4
4,2022,9,19640,2
4,2022,10,698,1
5,2022,1,53443,25
5,2022,2,43607,20
5,2022,3,53052,15
5,2022,4,43705,12
5,2022,5,43684,10
5,2022,6,49918,8
5,2022,7,43700,6
5,2022,8,30410,4
5,2022,9,21310,2
5,2022,10,36193,1
6,2022,1,6964,25
6,2022,2,54348,20
6,2022,3,27594,15
6,2022,4,25852,12
6,2022,5,23647,10
6,2022,6,47062,8
6,2022,7,33192,6
6,2022,8,43705,4
6,2022,9,23913,2
6,2022,10,47296,1
7,2022,1,43812,25
7,2022,2,23283,20
7,2022,3,41651,15
7,2022,4,43684,12
7,2022,5,49918,10
7,2022,6,48263,8
7,2022,7,24463,6
7,2022,8,43705,4
7,2022,9,55616,2
7,2022,10,53144,1
8,2022,1,35418,25
8,2022,2,22689,20
